dao,number,id,title,category,theme
arbitrum,1,60371879178081104082641012273221287927865067413661362234634146098631763379427,Core Test Proposal,Testing,
arbitrum,2,110793123084980773896129216551445203207286848914653873956746115694475823589450,Treasury test proposal,Testing,
arbitrum,3,79904733039853333959339953965823982558487956291458141923259498272549038367575,"Lockup, Budget, Transparency",Cancelled,
arbitrum,4,77049969659962393408182308518930939247285848107346513112985531885924337078488,Foundation and DAO Governance,DAO Amendments,
arbitrum,5,70545629960586317780628692755032548222173912190231545322320044688071893662480,"Lockup, Budget, Transparency",DAO Amendments,
arbitrum,6,71941171835710778457735937894689629320431683601089057868136768380925169329077,Activate support for account abstraction endpoint on One and Nova,Network Changes,
arbitrum,7,52789605232046584393223454610845077119190920888046802640362214067679574612119,Arbitrum DAO Grants - Delegated Domain Allocation by Questbook,Grants,Structured Programs
arbitrum,8,48957903989337452494807960514286334301924688097662612089398341037722439754861,Fund the Grants Framework Proposal Milestone 1,Grants,Structured Programs
arbitrum,9,94082931409036991607289748320100191193221627046136638381280146914481892861727,Update Security Council Election Start Date to Ensure Time for Security Audit,DAO Amendments,
arbitrum,10,108413626736577087081818577238162267924459697981830202052718122463860611528602,Security Council Elections Proposed Implementation Spec,DAO Amendments,
arbitrum,11,34046711258961804107485832473806122594109816095040829321732029304900488666630,Arbitrum One Governance Parameter Fixes,Network Changes,
arbitrum,12,4339452689891418965907083940091891085726910948106830138993485564953310970308,Building the Future of NFTs: The Rarible Protocol - Arbitrum Integration,Grants,Technology Development
arbitrum,13,92535731414466076465748260699234569033779695239254902723866669906112586724812,Arbitrum Short-term Incentive Program (STIP),Incentives,Structured Programs
arbitrum,14,13413460212244439965325761903593975061091934953503684497413508380387288651335,Backfund Successful STIP Proposals,Incentives,Structured Programs
arbitrum,15,107148500545417261921864085816276971795902152093375547084153298266650813470763,Empowering Early Contributors: The Community Arbiter Proposal,Grants,Retroactive Allocations
arbitrum,16,77069694702187027448745871790562515795432836429094222862498991082283032976814,ArbOS Version 11,Network Changes,
arbitrum,17,13830398746784164287014809687499019395362322167304875665797507515532859950760,Establish the Arbitrum Research & Development Collective,Cancelled,
arbitrum,18,55434268037459750836497365958054185343730937462615166912204494229415053613423,Establish the Arbitrum Research & Development Collective,Cancelled,
arbitrum,19,35525013043870715946223420504118237039230172376655957921569389087285511330636,Establish the Arbitrum Research & Development Collective,Cancelled,
arbitrum,20,6269372711941757139042689495856382466058496535755800373140231592090274906424,Experimental Delegates Incentive System,Cancelled,
arbitrum,21,48996903531311678297225319178379421688557110940940578387634228127153623956997,Establish the Arbitrum Research & Development Collective,Cancelled,
arbitrum,22,56002054155248055908873103086558103132748843103210580613728556162036150296506,Establish the Arbitrum Research & Development Collective,DAO Operations,DAO Development Services
arbitrum,23,98889951328992702889653461987621825257851718470562453684547824130828387112157,Experimental Delegates Incentive System,DAO Operations,DAO Expansion Programs
arbitrum,24,43616303506326656287362617487331059827021737444126158637397168372555259240241,Establish the ArbitrumDAO Procurement Committee,DAO Operations,DAO Development Services
arbitrum,25,110767177349707239820875764565747830009768307680609166467172874966002003291288,Long Term Incentives Pilot Program,Incentives,Structured Programs
arbitrum,26,28300903567340237987946172947371304329455149918972967618773111648600015289785,Changes to the Constitution and the Security Council Election Process,DAO Amendments,
arbitrum,27,46905320292877192134536823079608810426433248493109520384601548724615383601450,ArbOS 20 Atlas - Arbitrum Support for Dencun + Batch Poster Improvements,Network Changes,
arbitrum,28,21881347407562908848280051025758535553780110598432331587570488445729767071232,Proposal to fund Plurality Labs Milestone 1B(ridge),Grants,Structured Programs
arbitrum,29,38070839538623347085766954167338451189998347523518753197890888828931691912919,Arbitrum Stable Treasury Endowment Program,Financial Management,Treasury Management
arbitrum,30,7516302970844612385418101444853135774524286064427379173725195909617827683975,Empowering Early Contributors: The Community Arbiter Proposal 2.0,Grants,Retroactive Allocations
arbitrum,31,105661716969503353468484651547476341487744471176330694566006767279895911370354,Expand Tally Support for the Arbitrum DAO,Grants,Technology Development
arbitrum,32,98446466630612736687159241204141593794174501692677162686607521796118942563659,Request for Continuation of the Arbitrum DDA Program Request,Grants,Structured Programs
arbitrum,33,46550423530471344392834314743264512919726282073822921510880507756642229672784,Double-Down on STIP Successes (STIP-Bridge),Incentives,Structured Programs
arbitrum,34,22498645709460639498013508413205734891453964526622655693207250687057651118730,GovHack at ETH CC (Brussels),Grants,Event Sponsorships
arbitrum,35,38969105941610450745489426186100891274455985615095635354211489998123990654147,Grant Request - Curve Finance,Incentives,One-Off Programs
arbitrum,36,64983391853593910864060724460578707035332594860232908902104228608865672626079,M&A for Arbitrum DAO (Pilot Phase),DAO Operations,Consulting Services
arbitrum,37,36935952286774715100281528276901040748078989679883088545641375212318446360822,Front-end Interface to Force Transaction Inclusion During Sequencer Downtime,Grants,Technology Development
arbitrum,38,53472400873981607449547539050199074000442490831067826984987297151333310022877,Catalyze Gaming Ecosystem Growth on Arbitrum,Investments,Ventures
arbitrum,39,108365944612843449282647711225577270624871742641825297712833904029381791489297,Security Council Improvement Proposal,DAO Amendments,
arbitrum,40,38701323908152171422214887490453506732497504710759730413296983575898180294585,Safeguarding Software Developers' Rights,Grants,Retroactive Allocations
arbitrum,41,79183200449169085571205208154003416944507585311666453826890708127615057369177,Kwenta x Perennial: Arbitrum Onboarding Incentives,Incentives,One-Off Programs
arbitrum,42,3552942192106351362095426680857341385146921274641698065112264407057470303359,Subsidy Fund Proposal from the ADPC,Grants,Structured Programs
arbitrum,43,16862129143470948068395175122563617380780349421262247459634070073165514405758,Arbitrum Ventures Initiative (Pilot Phase),DAO Operations,Consulting Services
arbitrum,44,108288822474129076868455956066667369439381709547570289793612729242368710728616,"ArbOS 31 ""Bianca"" (Stylus, RIP-7212 Support, Nova Fee Router)",Network Changes,
arbitrum,45,47904929527582233304785161920776863155691990219898799848510210794906211250836,Arbitrum Multi-sig Support Service (MSS),Financial Management,Finance Functions
arbitrum,46,22562217031893796518849144396978331510254494883851105730012486117405397295942,Entropy Advisors: Exclusively Working With Arbitrum DAO,DAO Operations,DAO Development Services
arbitrum,47,30828395120264250515588826110157291466999820796280987022346439005676672544691,Funds to bootstrap the first BoLD validator,Grants,Technology Development
arbitrum,48,52793687237294107439411688810483120161857085958258363826553939061522164665920,ARB Staking: Unlock ARB Utility and Align Governance,Grants,Technology Development
arbitrum,49,109425185690543736048728494223916696230797128756558452562790432121529327921478,Delegate to Voter Enfranchisement Pool — Event Horizon,Cancelled,
arbitrum,50,79529399410531589353911088395953830829384332193617716676855043534419270111970,Delegate to Voter Enfranchisement Pool — Event Horizon,DAO Operations,DAO Expansion Programs
arbitrum,51,112325874093084064493910714319140234408317576120604499542718372361020687891105,Upgrade Governor Contracts by Transfering Timelock Roles to the New Governors,Cancelled,
arbitrum,52,104013508427929791254647754028304659752687979030673391997226897145800989991969,Ethereum Protocol Attackathon Sponsorship,Cancelled,
arbitrum,53,93496910583545921039254255671954964968329693484106479494661805749408858477569,Arbitrum DAO Procurement Committee: Phase II Proposal,DAO Operations,DAO Development Services
arbitrum,54,27888300053486667232765715922683646778055572080881341292116987136155397805421,Extend Delay on L2Time Lock,Network Changes,
arbitrum,55,70429238801539452185774644949439873171403711884919863798646613157877144482819,Ethereum Protocol Attackathon Sponsorship,Grants,Event Sponsorships
arbitrum,56,78608365328815179822381240433375943106975722017227920505592824878237374730465,Funds to Bolster Foundation's Strategic Partnerships Budget,Strategic Partnerships,Structured Programs
arbitrum,57,96690486288059875871645030622562174419564010435288438848687174619767247452877,ArbitrumDAO Strategic Off-Site (Online),Grants,Event Sponsorships
arbitrum,58,56768509231150680433760428191516666361790213029100482092064768634784370622764,Enhancing Multichain Governance: Upgrading RARI Governance Token on Arbitrum,Network Changes,
arbitrum,59,7979895167029508946638584765496434407327098393519089113101189960001594458109,Arbitrum DAO Delegate Incentive Program,DAO Operations,DAO Expansion Programs
arbitrum,60,24926593791565028016457688578136747185250074804329950986605484216603582190563,Fund the Stylus Sprint,Grants,Structured Programs
arbitrum,61,83546392681388778220788629004310255202561156229718364611160970131196959784333,Establishing a DAO Events Budget for 2025,Grants,Event Sponsorships
arbitrum,62,36792157050667056852025000136263368859227883753318633087194112219909798752014,Arbitrum Research & Development Collective V2,DAO Operations,DAO Development Services
arbitrum,63,108658450973990931334575713480652794742647878863726354508911679874665321261959,Arbitrum Hackathon Builder Continuation Program,Investments,Ventures
arbitrum,64,111105159609719390908725919603971316574753860587890014819515615630412225940809,Treasury Management V1.2,Treasury Management,Treasury Management
arbitrum,65,101924107818180443784046677916233531742645798596604549673138282938475874935972,Activate Arbitrum BoLD + Infura Nova Validator Whitelist,Network Changes,Technology Development
arbitrum,66,41351298371775353090222506531903916823291804644712693824312064183457809617851,OpCo: A DAO-adjacent Entity for Strategy Execution,DAO Operations,DAO Development Services
arbitrum,67,13323456481927947871314500108227684550647495448005726995657704713229313956489,Stable Treasury Endowment Program 2.0,Financial Management,Treasury Management
arbitrum,68,47215139570733026393508270943324710379923699871435188004224569883226292800465,Arbitrum D.A.O. (Domain Allocator Offerings) Grant Program - Season 3,Grants,Structured Programs
arbitrum,69,27831845498978337986467036886891836384283300266814708262424272663046958396151,Request to Increase the Stylus Sprint Committee's Budget,Grants,Structured Programs
arbitrum,70,14881197137069494959448952699217598923721993392617887469969318742509097999570,Adopt Timeboost + Nova Fee Sweep,Network Changes,Technology Development
arbitrum,71,41764616447638715300612914863093416410063619332654034338488569044333128121381,Arbitrum Onboarding V2: A Governance Bootcamp,DAO Operations,DAO Expansion Programs
arbitrum,72,107606727309922720763027677505427395647796047780305505879344344641224024948240,Arbitrum Audit Program,DAO Operations,DAO Development Services
arbitrum,73,28485587559812799913134094629469849411398475232393607771326861344548198896843,The Watchdog: Arbitrum DAO's Grant Misuse Bounty Program,DAO Operations,DAO Development Services
arbitrum,74,13108804573775967668959825241666341617107666532012387058509418598838035461528,AIP: ArbOS Version 40 Callisto,Network Changes,Technology Development
arbitrum,75,13050485773425645466153415888358064378805606653363056526521393182333458879398,DeFi Renaissance Incentive Program (DRIP),Incentives,Structured Programs
arbitrum,76,16288348195459185256236376597446433097934740027053618232242382845767010422421,Register the Sky Custom Gateway contracts in the Router,Cancelled,
arbitrum,77,71020107401388505040510993373598301285550678565865201408741893567942851985019,Register the Sky Custom Gateway contracts in the Router,Network Changes,
arbitrum,78,94423886836435773843507976898262621297544156552971145658873213763398017341229,Constitutional Quorum Threshold Reduction,Network Changes,
arbitrum,79,37638751032596392177176596241110468090299645534448966767963399982622616318705,Entropy Advisors: Exclusively Working with the Arbitrum DAO Y2-Y3,DAO Operations,DAO Development Services
arbitrum,80,97685288731263391833044854304895851471157040105038894699042975271050068874277,Register BORING in the Arbitrum generic-custom gateway,Network Changes,
arbitrum,81,51852039695020109312343918128899814224888993575448130385109956762385891284115,Remove Cost Cap - Update Executors - Disable Legacy USDT Bridge,Network Changes,
arbitrum,82,57495998481040869152703890521939307107269690440073097268210566577740258992963,Transfer 8500 ETH from the Treasury to ATMC's ETH Treasury Strategies,Treasury Management,Treasury Management
arbitrum,83,53154361738756237993090798888616593723057470462495169047773178676976253908001,Activate ArbOS 51 (Dia) and Gas Pricing Updates,Network Changes,
arbitrum,84,112177996398925212273579485756315626637025938627124330171390356044681347897430,DVP Quorum & Proposal Cancellation,Network Changes,
arbitrum,85,86654545843645364200491220873325841239317939837732580673532485559601859962180,"Transfer 6,000 ETH and Idle Stablecoins from the Treasury to the Treasury Management Portfolio",Treasury Management,
